Product Price,"₹8,999"
Product Name,GIGABYTE Nvidia GeForce ® GTX 1650 D6 pci_e_x16 WINDFORCE OC 4GD Graphics Card with Integrated 4GB GDDR6 Memory (GV-N1656WF2OC-4GD)
Product Price,"₹12,360"
Product URL,https://www.amazon.in/GIGABYTE-GeForce-WINDFORCE-Graphics-GV-N1656WF2OC-4GD/dp/B086T6W63R/ref=sr_1_2?crid=1BPASLKAZJMY9&dib=eyJ2IjoiMSJ9.U700u6OCvbsb07qg3IsYDTd3kit7LVFZFB8nWi_as09srTegWi8tStj67CnYq1L8bBUhtBsIM0vcZ63ARC5LcuNzAIsmw1k-VNqR5Q3bVlmIluZhhKkajwZ4Opm4S0DvfWKt3ax9XQQIGov4o0Q9ZAvjJyLMR0wbjJHg3e8LmiWF8LWllHIYaQmW2DyM3Wn2Zv5UHHl8NeM3P5w0cgCmanwuZqKM6g_ZlkvFSVGneC8.EWbjs8jdNosEjHFx_iIO01i-E7JEx_6cLha402Y-UM4&dib_tag=se&keywords=gpu&qid=1720466393&sprefix=gpu%2Caps%2C465&sr=8-2
Rating,4.2 out of 5 stars
Reviews,343
Product URL,https://www.amazon.in/GIGABYTE-GeForce-WINDFORCE-Graphics-GV-N1656WF2OC-4GD/dp/B086T6W63R/ref=sr_1_2?crid=1BPASLKAZJMY9&dib=eyJ2IjoiMSJ9.U700u6OCvbsb07qg3IsYDTd3kit7LVFZFB8nWi_as09srTegWi8tStj67CnYq1L8bBUhtBsIM0vcZ63ARC5LcuNzAIsmw1k-VNqR5Q3bVlmIluZhhKkajwZ4Opm4S0DvfWKt3ax9XQQIGov4o0Q9ZAvjJyLMR0wbjJHg3e8LmiWF8LWllHIYaQmW2DyM3Wn2Zv5UHHl8NeM3P5w0cgCmanwuZqKM6g_ZlkvFSVGneC8.EWbjs8jdNosEjHFx_iIO01i-E7JEx_6cLha402Y-UM4&dib_tag=se&keywords=gpu&qid=1720466393&sprefix=gpu%2Caps%2C465&sr=8-2
Product URL,https://www.amazon.in/GIGABYTE-GeForce-WINDFORCE-Graphics-GV-N1656WF2OC-4GD/dp/B086T6W63R/ref=sr_1_2?crid=1BPASLKAZJMY9&dib=eyJ2IjoiMSJ9.U700u6OCvbsb07qg3IsYDTd3kit7LVFZFB8nWi_as09srTegWi8tStj67CnYq1L8bBUhtBsIM0vcZ63ARC5LcuNzAIsmw1k-VNqR5Q3bVlmIluZhhKkajwZ4Opm4S0DvfWKt3ax9XQQIGov4o0Q9ZAvjJyLMR0wbjJHg3e8LmiWF8LWllHIYaQmW2DyM3Wn2Zv5UHHl8NeM3P5w0cgCmanwuZqKM6g_ZlkvFSVGneC8.EWbjs8jdNosEjHFx_iIO01i-E7JEx_6cLha402Y-UM4&dib_tag=se&keywords=gpu&qid=1720466393&sprefix=gpu%2Caps%2C465&sr=8-2
Product URL,https://www.amazon.in/GIGABYTE-GeForce-WINDFORCE-Graphics-GV-N1656WF2OC-4GD/dp/B086T6W63R/ref=sr_1_2?crid=1BPASLKAZJMY9&dib=eyJ2IjoiMSJ9.U700u6OCvbsb07qg3IsYDTd3kit7LVFZFB8nWi_as09srTegWi8tStj67CnYq1L8bBUhtBsIM0vcZ63ARC5LcuNzAIsmw1k-VNqR5Q3bVlmIluZhhKkajwZ4Opm4S0DvfWKt3ax9XQQIGov4o0Q9ZAvjJyLMR0wbjJHg3e8LmiWF8LWllHIYaQmW2DyM3Wn2Zv5UHHl8NeM3P5w0cgCmanwuZqKM6g_ZlkvFSVGneC8.EWbjs8jdNosEjHFx_iIO01i-E7JEx_6cLha402Y-UM4&dib_tag=se&keywords=gpu&qid=1720466393&sprefix=gpu%2Caps%2C465&sr=8-2
Product URL,https://www.amazon.in/GIGABYTE-GeForce-WINDFORCE-Graphics-GV-N1656WF2OC-4GD/dp/B086T6W63R/ref=sr_1_2?crid=1BPASLKAZJMY9&dib=eyJ2IjoiMSJ9.U700u6OCvbsb07qg3IsYDTd3kit7LVFZFB8nWi_as09srTegWi8tStj67CnYq1L8bBUhtBsIM0vcZ63ARC5LcuNzAIsmw1k-VNqR5Q3bVlmIluZhhKkajwZ4Opm4S0DvfWKt3ax9XQQIGov4o0Q9ZAvjJyLMR0wbjJHg3e8LmiWF8LWllHIYaQmW2DyM3Wn2Zv5UHHl8NeM3P5w0cgCmanwuZqKM6g_ZlkvFSVGneC8.EWbjs8jdNosEjHFx_iIO01i-E7JEx_6cLha402Y-UM4&dib_tag=se&keywords=gpu&qid=1720466393&sprefix=gpu%2Caps%2C465&sr=8-2
